"ZIP code",Size of adjusted gross income,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI)
76049,"$25,000 under $50,000",2293,1045,1235,4580,1248,84567
76049,"$50,000 under $75,000",1807,1203,999,4013,1004,111964
76049,"$75,000 under $100,000",1394,1113,776,3314,807,121035
76049,"$100,000 under $200,000",2056,1874,1232,5380,1451,275483
76049,"$200,000 or more",528,490,409,1347,329,340788
76050,,"2,612","1,327","1,456","5,741","1,977","151,055"
76050,"$1 under $25,000",1002,222,482,1539,490,12128
76050,"$25,000 under $50,000",583,262,317,1327,482,21655
76050,"$50,000 under $75,000",388,270,235,949,291,23959
76050,"$75,000 under $100,000",278,241,177,772,253,24117
76050,"$100,000 under $200,000",301,279,193,968,388,39134
76050,"$200,000 or more",60,53,52,186,73,30062
76051,,"22,737","9,408","10,116","46,947","16,608","1,731,449"
76051,"$1 under $25,000",7053,813,3020,9677,3598,84224
76051,"$25,000 under $50,000",4647,1194,2005,9488,3663,171190
76051,"$50,000 under $75,000",2967,1132,1319,5846,1753,183079
76051,"$75,000 under $100,000",2236,1413,984,5242,1593,194832
76051,"$100,000 under $200,000",4476,3637,1985,12586,4470,615391
76051,"$200,000 or more",1358,1219,803,4108,1531,482733
76052,,"6,982","3,870","3,109","16,730","6,326","550,570"
76052,"$1 under $25,000",1561,180,633,1849,551,17953
76052,"$25,000 under $50,000",1325,417,558,2801,1063,49714
76052,"$50,000 under $75,000",1113,646,497,2886,1128,68962
76052,"$75,000 under $100,000",1020,814,448,2980,1146,88926
76052,"$100,000 under $200,000",1637,1506,775,5200,2057,222057
76052,"$200,000 or more",326,307,198,1014,381,102958
76053,,"13,788","4,683","6,458","27,692","9,857","585,199"
76053,"$1 under $25,000",5834,801,2840,9599,3599,76400
76053,"$25,000 under $50,000",3835,1153,1743,8122,3139,138643
76053,"$50,000 under $75,000",1942,1002,847,4309,1363,118176
76053,"$75,000 under $100,000",1103,823,482,2759,831,94994
76053,"$100,000 under $200,000",979,824,489,2660,857,125245
76053,"$200,000 or more",95,80,57,243,68,31741
76054,,"6,148","3,103","2,874","12,065","3,303","470,791"
76054,"$1 under $25,000",1705,210,654,1788,358,18977
76054,"$25,000 under $50,000",1072,340,500,1843,435,39696
76054,"$50,000 under $75,000",907,473,463,1914,534,56341
76054,"$75,000 under $100,000",783,587,381,1910,540,68330
76054,"$100,000 under $200,000",1370,1206,684,3726,1150,184824
76054,"$200,000 or more",311,287,192,884,286,102623
76055,,"1,095",495,611,"2,568","1,028","46,778"
76055,"$1 under $25,000",466,95,229,895,384,5837
76055,"$25,000 under $50,000",305,138,177,771,328,10778
76055,"$50,000 under $75,000",145,98,88,406,163,8805
76055,"$75,000 under $100,000",99,91,62,290,100,8645
76055,"$100,000 under $200,000",80,73,55,206,53,12713
76055,"$200,000 or more",**,**,**,**,**,**
76058,,"7,335","3,360","3,800","16,453","6,134","337,329"
76058,"$1 under $25,000",2960,603,1433,5020,1834,36656
76058,"$25,000 under $50,000",1934,816,1011,4592,1841,70475
76058,"$50,000 under $75,000",1080,723,592,2848,1045,66587
76058,"$75,000 under $100,000",665,579,348,1913,669,57590
76058,"$100,000 under $200,000",628,577,363,1873,668,80202
76058,"$200,000 or more",68,62,53,207,77,25819
76059,,"1,926",763,992,"4,133","1,575","71,389"
76059,"$1 under $25,000",1021,204,495,1770,675,12325
76059,"$25,000 under $50,000",439,201,229,1095,456,15563
76059,"$50,000 under $75,000",221,148,118,574,205,13542
76059,"$75,000 under $100,000",113,91,60,320,116,9780
76059,"$100,000 under $200,000",132,119,90,374,123,20179
76059,"$200,000 or more",**,**,**,**,**,**
76060,,"3,287","1,507","1,643","6,932","2,353","206,669"
76060,"$1 under $25,000",1193,205,557,1815,628,14524
76060,"$25,000 under $50,000",750,250,371,1475,478,26987
76060,"$50,000 under $75,000",443,262,218,1030,326,27314
76060,"$75,000 under $100,000",309,255,157,844,280,27147
76060,"$100,000 under $200,000",464,421,251,1400,515,63160
76060,"$200,000 or more",128,114,89,368,126,47537
76061,,317,159,175,658,190,"16,732"
76061,"$1 under $25,000",128,43,68,213,50,1668
76061,"$25,000 under $50,000",76,29,37,159,54,2830
76061,"$50,000 under $75,000",41,25,25,102,36,2437
76061,"$75,000 under $100,000",32,25,20,80,23,2833
76061,"$100,000 under $200,000",40,37,25,104,27,6964
76061,"$200,000 or more",**,**,**,**,**,**
76063,,"27,871","13,183","12,872","63,475","24,599","2,139,459"
76063,"$1 under $25,000",8737,1046,3701,11817,4192,103290
76063,"$25,000 under $50,000",5609,1735,2528,12144,4819,206345
76063,"$50,000 under $75,000",3817,2073,1825,9755,3867,237548
76063,"$75,000 under $100,000",3145,2400,1480,9077,3532,273929
76063,"$100,000 under $200,000",5229,4684,2442,16488,6574,705459
76063,"$200,000 or more",1334,1245,896,4194,1615,612888
76064,,804,429,445,"1,922",750,"46,617"
76064,"$1 under $25,000",245,42,115,343,117,2867
76064,"$25,000 under $50,000",194,78,116,468,196,7096
76064,"$50,000 under $75,000",131,95,75,352,126,8074
76064,"$75,000 under $100,000",101,89,53,319,129,8817
76064,"$100,000 under $200,000",133,125,86,440,182,19763
76064,"$200,000 or more",**,**,**,**,**,**
76065,,"13,597","7,050","6,314","31,061","11,536","903,854"
76065,"$1 under $25,000",4138,548,1702,5295,1718,47526
76065,"$25,000 under $50,000",2700,972,1252,5957,2296,99261
76065,"$50,000 under $75,000",2115,1336,1004,5538,2088,131156
76065,"$75,000 under $100,000",1763,1498,847,5190,1929,153265
76065,"$100,000 under $200,000",2462,2304,1229,7728,2963,324621
76065,"$200,000 or more",419,392,280,1353,542,148025
76066,,"1,356",659,807,"2,796",859,"87,748"
76066,"$1 under $25,000",552,132,283,878,270,6936
76066,"$25,000 under $50,000",322,147,193,655,187,11800
76066,"$50,000 under $75,000",208,142,135,534,184,12758
76066,"$75,000 under $100,000",117,96,76,295,82,10013
76066,"$100,000 under $200,000",128,118,92,357,112,16612
76066,"$200,000 or more",29,24,28,77,24,29629
76067,,"7,892","3,199","4,402","16,958","6,246","313,172"
76067,"$1 under $25,000",3695,700,1900,6368,2347,46798
76067,"$25,000 under $50,000",2132,894,1223,4917,1895,76714
76067,"$50,000 under $75,000",1060,755,611,2832,1017,65176
76067,"$75,000 under $100,000",524,423,324,1456,509,45107
76067,"$100,000 under $200,000",411,368,288,1200,421,52346
76067,"$200,000 or more",70,59,56,185,57,27031
76070,,214,116,122,429,115,"15,633"
76070,"$1 under $25,000",62,23,27,77,34,613
76070,"$25,000 under $50,000",38,**,26,64,**,1413
76070,"$50,000 under $75,000",33,42,34,87,30,2026
76070,"$75,000 under $100,000",24,**,**,62,20,2130
76070,"$100,000 under $200,000",57,51,35,139,31,9451
76070,"$200,000 or more",**,**,**,**,**,**
76071,,"1,586",760,808,"3,511","1,254","86,075"
76071,"$1 under $25,000",568,98,282,890,310,6987
76071,"$25,000 under $50,000",400,171,191,910,340,14655
76071,"$50,000 under $75,000",272,188,144,715,255,16805
76071,"$75,000 under $100,000",136,111,66,382,137,11771
76071,"$100,000 under $200,000",185,167,125,542,190,24926
76071,"$200,000 or more",25,25,**,72,22,10931
76073,,"2,298","1,216","1,361","5,090","1,741","130,162"
76073,"$1 under $25,000",805,166,421,1150,340,9302
76073,"$25,000 under $50,000",525,237,314,1156,398,19266
76073,"$50,000 under $75,000",382,276,246,1023,365,23581
76073,"$75,000 under $100,000",252,228,161,737,257,21818
76073,"$100,000 under $200,000",297,274,187,923,352,38846
76073,"$200,000 or more",37,35,32,101,29,17349
76077,,265,140,134,553,159,"13,531"
76077,"$1 under $25,000",91,22,41,152,49,1153
76077,"$25,000 under $50,000",75,44,42,175,56,2793
76077,"$50,000 under $75,000",57,35,51,123,32,3939
76077,"$75,000 under $100,000",**,**,**,**,**,**
76077,"$100,000 under $200,000",42,39,**,103,22,5646
76077,"$200,000 or more",**,**,**,**,**,**
76078,,"3,627","1,788","1,843","8,216","3,002","208,880"
76078,"$1 under $25,000",1175,200,538,1743,561,14660
76078,"$25,000 under $50,000",908,365,466,2053,786,33223
76078,"$50,000 under $75,000",640,413,335,1748,697,39451
76078,"$75,000 under $100,000",419,363,236,1228,446,36291
76078,"$100,000 under $200,000",424,388,227,1261,449,55296
76078,"$200,000 or more",61,59,41,183,63,29959
76082,,"7,599","3,710","4,155","16,616","5,676","368,866"
76082,"$1 under $25,000",2979,640,1536,4882,1628,37213
76082,"$25,000 under $50,000",1782,784,967,4008,1443,64472
76082,"$50,000 under $75,000",1210,840,656,3098,1050,74730
76082,"$75,000 under $100,000",760,665,445,2197,772,65575
76082,"$100,000 under $200,000",779,696,486,2193,718,99910
76082,"$200,000 or more",89,85,65,238,65,26966
76084,,"3,166","1,428","1,625","7,376","2,948","136,906"
76084,"$1 under $25,000",1257,234,603,2205,878,16493
76084,"$25,000 under $50,000",880,368,459,2192,945,32071
76084,"$50,000 under $75,000",499,361,269,1421,562,30695
76084,"$75,000 under $100,000",296,249,162,893,348,25371
76084,"$100,000 under $200,000",234,216,132,665,215,32276
76084,"$200,000 or more",**,**,**,**,**,**
76085,,"4,328","2,230","2,324","9,352","3,036","249,196"
76085,"$1 under $25,000",1552,308,759,2348,723,19144
76085,"$25,000 under $50,000",904,402,484,2005,706,32874
76085,"$50,000 under $75,000",619,433,356,1536,484,38648
76085,"$75,000 under $100,000",517,433,273,1422,472,44985
76085,"$100,000 under $200,000",643,576,379,1804,585,84532
76085,"$200,000 or more",93,78,73,237,66,29013
76086,,"9,079","3,526","4,815","18,022","5,863","459,127"
76086,"$1 under $25,000",3865,618,1911,6040,2000,47732
76086,"$25,000 under $50,000",2326,849,1191,4841,1668,84023
76086,"$50,000 under $75,000",1325,796,738,3091,970,81660
76086,"$75,000 under $100,000",731,566,426,1888,591,62702
76086,"$100,000 under $200,000",681,567,420,1771,524,89657
76086,"$200,000 or more",151,130,129,391,110,93353
76087,,"11,445","6,117","6,087","24,800","8,063","867,795"
76087,"$1 under $25,000",3699,634,1760,4975,1461,41860
76087,"$25,000 under $50,000",1962,785,1056,4003,1261,71980
76087,"$50,000 under $75,000",1540,981,864,3690,1170,95561
76087,"$75,000 under $100,000",1332,1087,718,3606,1187,116138
76087,"$100,000 under $200,000",2342,2111,1275,6827,2374,317919
76087,"$200,000 or more",570,519,414,1699,610,224337
76088,,"4,959","2,536","2,802","10,470","3,318","307,649"
76088,"$1 under $25,000",1777,341,894,2558,777,20986
76088,"$25,000 under $50,000",1081,477,604,2286,733,39411
76088,"$50,000 under $75,000",760,522,449,1842,560,47088
76088,"$75,000 under $100,000",541,467,321,1481,473,46983
76088,"$100,000 under $200,000",665,606,426,1941,671,86670
76088,"$200,000 or more",135,123,108,362,104,66511
76092,,"11,919","7,318","6,678","29,701","12,154","2,836,374"
76092,"$1 under $25,000",3036,218,1263,2035,438,24676
76092,"$25,000 under $50,000",974,296,482,1714,469,35971
76092,"$50,000 under $75,000",701,325,406,1498,474,43388
76092,"$75,000 under $100,000",601,427,349,1558,533,52312
76092,"$100,000 under $200,000",2550,2227,1412,8231,3457,381573
76092,"$200,000 or more",4057,3825,2766,14665,6783,2298454
76093,,991,480,525,"2,191",774,"47,365"
76093,"$1 under $25,000",378,96,167,647,226,4340
76093,"$25,000 under $50,000",257,110,144,567,201,9240
76093,"$50,000 under $75,000",187,122,108,467,158,11371
76093,"$75,000 under $100,000",85,78,52,253,90,7330
76093,"$100,000 under $200,000",84,74,54,257,99,15084
76093,"$200,000 or more",**,**,**,**,**,**
76102,,"4,044",799,"2,145","6,388","1,718","1,076,467"
76102,"$1 under $25,000",1595,85,878,2572,1035,19144
76102,"$25,000 under $50,000",768,100,325,1147,296,27927
76102,"$50,000 under $75,000",541,85,237,708,87,33124
76102,"$75,000 under $100,000",353,94,177,493,46,30757
76102,"$100,000 under $200,000",435,208,242,723,87,59816
76102,"$200,000 or more",352,227,286,745,167,905699
76103,,"6,726","1,991","4,214","16,237","7,720","234,338"
76103,"$1 under $25,000",3659,593,2477,8006,3951,51512
76103,"$25,000 under $50,000",1849,644,1113,5241,2751,64790
76103,"$50,000 under $75,000",613,313,334,1539,613,37439
76103,"$75,000 under $100,000",347,236,159,846,263,29924
76103,"$100,000 under $200,000",227,178,110,537,142,29429
76103,"$200,000 or more",31,27,21,68,**,21244
76104,,"6,609","1,109","3,943","14,691","7,159","187,608"
76104,"$1 under $25,000",4413,436,2746,9260,4590,58134
76104,"$25,000 under $50,000",1568,391,861,3959,2004,53979
76104,"$50,000 under $75,000",374,134,190,902,395,22374
76104,"$75,000 under $100,000",111,59,51,255,86,9485
76104,"$100,000 under $200,000",103,68,60,233,62,13722
76104,"$200,000 or more",40,21,35,82,22,29914
76105,,"8,804","1,803","5,795","21,643","11,312","194,221"
76105,"$1 under $25,000",6017,726,3954,13314,6838,80970
76105,"$25,000 under $50,000",2249,785,1470,6719,3694,76432
76105,"$50,000 under $75,000",414,220,285,1266,632,24873
76105,"$75,000 under $100,000",79,43,55,232,110,6665
76105,"$100,000 under $200,000",45,29,31,112,38,5281
76105,"$200,000 or more",**,**,**,**,**,**
76106,,"13,384","3,988","9,460","35,038","18,128","354,140"
76106,"$1 under $25,000",7905,1275,5588,17757,9036,110206
76106,"$25,000 under $50,000",4256,1847,3004,13244,7146,146935
76106,"$50,000 under $75,000",922,630,670,3108,1554,54610
76106,"$75,000 under $100,000",204,158,130,629,267,17141
76106,"$100,000 under $200,000",97,78,68,300,125,25248
76106,"$200,000 or more",**,**,**,**,**,**
76107,,"13,443","3,812","7,532","24,112","7,432","1,668,548"
76107,"$1 under $25,000",5147,492,2795,8037,2917,65410
76107,"$25,000 under $50,000",3211,676,1568,5947,2090,116036
76107,"$50,000 under $75,000",1675,496,851,2803,645,102375
76107,"$75,000 under $100,000",915,404,480,1629,319,79083
76107,"$100,000 under $200,000",1309,804,822,2652,544,181128
76107,"$200,000 or more",1186,940,1016,3044,917,1124516
76108,,"17,627","6,961","8,118","36,871","13,120","974,326"
76108,"$1 under $25,000",6373,920,2926,10137,3671,80864
76108,"$25,000 under $50,000",4556,1426,2078,9650,3678,166533
76108,"$50,000 under $75,000",2778,1461,1233,6485,2247,170924
76108,"$75,000 under $100,000",1700,1254,750,4405,1450,146931
76108,"$100,000 under $200,000",1825,1539,870,5075,1711,240759
76108,"$200,000 or more",395,361,261,1119,363,168315
76109,,"9,483","3,680","5,136","17,353","4,854","1,320,583"
76109,"$1 under $25,000",2913,247,1314,3256,732,33389
76109,"$25,000 under $50,000",1856,299,850,2809,676,68640
76109,"$50,000 under $75,000",1115,357,578,1885,418,68231
76109,"$75,000 under $100,000",715,381,429,1440,345,62394
76109,"$100,000 under $200,000",1474,1152,891,3786,1160,209628
76109,"$200,000 or more",1410,1244,1074,4177,1523,878301
76110,,"12,775","4,226","7,650","29,452","13,019","547,006"
76110,"$1 under $25,000",6442,1052,3976,12773,5843,86555
76110,"$25,000 under $50,000",3635,1395,2178,9786,4759,128063
76110,"$50,000 under $75,000",1166,626,643,2976,1185,70663
76110,"$75,000 under $100,000",530,342,264,1270,398,45787
76110,"$100,000 under $200,000",698,554,366,1774,522,95574
76110,"$200,000 or more",304,257,223,873,312,120364
76111,,"9,109","2,904","5,779","21,964","10,300","285,860"
76111,"$1 under $25,000",4741,724,3017,9654,4533,66164
76111,"$25,000 under $50,000",2953,1243,1914,8433,4240,103639
76111,"$50,000 under $75,000",862,524,509,2472,1088,52190
76111,"$75,000 under $100,000",310,224,193,825,291,26560
76111,"$100,000 under $200,000",208,160,116,491,123,26386
76111,"$200,000 or more",35,29,30,89,25,10921
76112,,"17,758","4,141","9,895","35,804","14,564","651,730"
76112,"$1 under $25,000",9310,864,5481,17329,7802,122784
76112,"$25,000 under $50,000",4750,1148,2488,10155,4265,167443
76112,"$50,000 under $75,000",1877,811,956,4096,1411,113884
76112,"$75,000 under $100,000",873,560,437,1971,538,75075
76112,"$100,000 under $200,000",778,620,413,1858,461,102860
76112,"$200,000 or more",170,138,120,395,87,69684
76114,,"10,752","3,586","6,309","23,453","9,502","416,287"
76114,"$1 under $25,000",5159,868,3016,9574,3929,69594
76114,"$25,000 under $50,000",3377,1254,2020,8297,3669,120614
76114,"$50,000 under $75,000",1298,770,749,3297,1231,78794
76114,"$75,000 under $100,000",507,374,271,1296,415,43206
76114,"$100,000 under $200,000",332,262,182,819,225,42411
76114,"$200,000 or more",79,58,71,170,33,61668
76115,,"8,301","2,612","5,497","21,613","11,026","217,735"
76115,"$1 under $25,000",5101,955,3340,11553,5820,69841
76115,"$25,000 under $50,000",2405,1088,1629,7511,4021,83806
76115,"$50,000 under $75,000",589,415,401,1988,984,35132
76115,"$75,000 under $100,000",125,92,70,353,136,10630
76115,"$100,000 under $200,000",81,62,57,208,65,18326
76115,"$200,000 or more",**,**,**,**,**,**
76116,,"21,446","6,585","11,443","41,891","14,752","1,226,744"
76116,"$1 under $25,000",9450,1100,5157,15961,6281,124123
76116,"$25,000 under $50,000",5608,1588,2830,11740,4559,200428
76116,"$50,000 under $75,000",2563,1109,1252,5182,1514,156234
76116,"$75,000 under $100,000",1354,839,688,2919,727,116420
76116,"$100,000 under $200,000",1765,1372,969,4258,1123,238412
76116,"$200,000 or more",706,577,547,1831,548,391127
76117,,"13,486","4,394","7,593","29,531","12,192","458,638"
76117,"$1 under $25,000",6693,1082,3765,12396,5162,91036
76117,"$25,000 under $50,000",4254,1548,2387,10438,4637,150159
76117,"$50,000 under $75,000",1490,928,843,3973,1555,90449
76117,"$75,000 under $100,000",609,474,332,1627,543,52039
76117,"$100,000 under $200,000",398,340,236,1009,271,49580
76117,"$200,000 or more",42,22,30,88,24,25375
76118,,"6,696","2,646","3,183","13,795","4,803","328,242"
76118,"$1 under $25,000",2413,362,1198,3710,1276,30700
76118,"$25,000 under $50,000",1782,515,827,3605,1317,65319
76118,"$50,000 under $75,000",1047,562,468,2431,822,64257
76118,"$75,000 under $100,000",696,556,325,1912,660,60199
76118,"$100,000 under $200,000",700,608,331,1974,666,89527
76118,"$200,000 or more",58,43,34,163,62,18240
76119,,"17,277","3,979","10,766","40,325","19,631","457,543"
76119,"$1 under $25,000",10881,1439,6840,23050,11288,146057
76119,"$25,000 under $50,000",4631,1547,2837,12566,6393,160676
76119,"$50,000 under $75,000",1205,604,729,3219,1408,72867
76119,"$75,000 under $100,000",356,231,222,952,365,30245
76119,"$100,000 under $200,000",184,158,138,492,177,22755
76119,"$200,000 or more",20,**,**,46,**,24943
76120,,"7,574","1,768","3,815","14,731","5,656","328,722"
76120,"$1 under $25,000",3395,258,1874,5946,2545,46378
76120,"$25,000 under $50,000",2212,402,1057,4271,1664,79086
76120,"$50,000 under $75,000",988,396,433,2038,661,60091
76120,"$75,000 under $100,000",485,309,212,1142,348,41780
76120,"$100,000 under $200,000",406,328,183,1081,348,52641
76120,"$200,000 or more",88,75,56,253,90,48746
76123,,"13,155","5,088","6,212","29,986","12,637","713,447"
76123,"$1 under $25,000",4682,488,2222,7572,3287,59027
76123,"$25,000 under $50,000",3175,857,1520,7319,3296,116408
76123,"$50,000 under $75,000",2000,1025,990,5149,2126,123148
76123,"$75,000 under $100,000",1344,963,595,3808,1500,116368
76123,"$100,000 under $200,000",1712,1532,747,5368,2123,223134
76123,"$200,000 or more",242,223,138,770,305,75362
76126,,"10,010","4,744","4,604","19,984","5,803","971,003"
76126,"$1 under $25,000",2861,388,1247,3674,987,34027
76126,"$25,000 under $50,000",2065,636,890,3803,1112,76363
76126,"$50,000 under $75,000",1570,809,718,3390,1011,97104
76126,"$75,000 under $100,000",1173,849,528,2808,786,101727
76126,"$100,000 under $200,000",1811,1570,855,4734,1354,241323
76126,"$200,000 or more",530,492,366,1575,553,420459
76127,,247,63,97,448,140,"9,246"
76127,"$1 under $25,000",129,26,47,157,**,2404
76127,"$25,000 under $50,000",56,**,25,118,66,1897
76127,"$50,000 under $75,000",62,37,25,173,74,4945
76127,"$75,000 under $100,000",**,**,**,**,**,**
76127,"$100,000 under $200,000",**,**,**,**,**,**
76127,"$200,000 or more",**,**,**,**,**,**
76131,,"13,039","5,635","5,760","30,207","12,281","696,280"
76131,"$1 under $25,000",3955,457,1787,6028,2358,50473
76131,"$25,000 under $50,000",3294,1004,1465,7588,3299,122838
76131,"$50,000 under $75,000",2450,1392,1079,6495,2652,151592
76131,"$75,000 under $100,000",1713,1354,701,5104,2035,148398
76131,"$100,000 under $200,000",1536,1350,679,4720,1834,196408
76131,"$200,000 or more",91,78,49,272,103,26571
76132,,"12,380","3,926","6,109","21,994","6,363","1,144,504"
76132,"$1 under $25,000",4699,442,2202,6381,1892,61138
76132,"$25,000 under $50,000",3189,586,1342,5331,1569,114616
76132,"$50,000 under $75,000",1403,523,676,2522,601,85464
76132,"$75,000 under $100,000",795,457,432,1636,387,68832
76132,"$100,000 under $200,000",1286,1014,696,3173,875,180729
76132,"$200,000 or more",1008,904,761,2951,1039,633725
76133,,"22,471","7,549","11,535","46,704","17,741","969,899"
76133,"$1 under $25,000",9595,1198,5065,16634,6886,126249
76133,"$25,000 under $50,000",6166,1909,3141,13958,5892,222215
76133,"$50,000 under $75,000",3095,1596,1571,7064,2375,189370
76133,"$75,000 under $100,000",1653,1213,804,4071,1205,143033
76133,"$100,000 under $200,000",1750,1460,833,4473,1264,227127
76133,"$200,000 or more",212,173,121,504,119,61905
76134,,"10,776","3,203","5,625","23,185","9,660","399,517"
76134,"$1 under $25,000",4952,576,2600,9095,4016,66097
76134,"$25,000 under $50,000",3208,968,1663,7455,3285,115176
76134,"$50,000 under $75,000",1448,751,739,3581,1382,88086
76134,"$75,000 under $100,000",646,470,358,1689,573,55578
76134,"$100,000 under $200,000",488,411,243,1274,375,61391
76134,"$200,000 or more",34,27,22,91,29,13189
76135,,"8,675","3,415","4,201","17,876","6,167","443,555"
76135,"$1 under $25,000",3451,479,1575,5535,1982,44198
76135,"$25,000 under $50,000",2197,732,1092,4741,1816,79106
76135,"$50,000 under $75,000",1195,661,611,2742,887,73193
76135,"$75,000 under $100,000",783,608,382,2090,699,67923
76135,"$100,000 under $200,000",901,806,436,2422,714,119479
76135,"$200,000 or more",148,129,105,346,69,59656
76137,,"25,587","9,897","10,877","53,586","19,827","1,344,326"
76137,"$1 under $25,000",8722,956,3648,12350,4370,109962
76137,"$25,000 under $50,000",6660,1827,2864,13802,5338,244451
76137,"$50,000 under $75,000",4051,2127,1739,9767,3591,249104
76137,"$75,000 under $100,000",2689,1984,1086,7437,2766,232730
76137,"$100,000 under $200,000",3151,2728,1366,9350,3471,410987
76137,"$200,000 or more",314,275,174,880,291,97092
76140,,"11,779","3,719","6,368","26,709","11,720","442,173"
76140,"$1 under $25,000",5458,712,2973,10415,4745,73434
76140,"$25,000 under $50,000",3539,1158,1892,8842,4153,127685
76140,"$50,000 under $75,000",1499,855,789,3938,1585,91036
76140,"$75,000 under $100,000",693,485,371,1878,700,59401
76140,"$100,000 under $200,000",509,435,284,1386,442,64769
76140,"$200,000 or more",81,74,59,250,95,25848
76148,,"11,232","4,456","4,866","23,159","8,117","497,697"
76148,"$1 under $25,000",4051,583,1708,5977,1988,52032
76148,"$25,000 under $50,000",3287,1086,1434,7093,2721,121312
76148,"$50,000 under $75,000",1974,1208,860,4901,1719,121578
76148,"$75,000 under $100,000",1104,880,477,2983,999,94715
76148,"$100,000 under $200,000",775,664,358,2116,690,95891
76148,"$200,000 or more",41,35,29,89,**,12169
76155,,"2,327",450,997,"3,602",882,"100,221"
76155,"$1 under $25,000",764,63,352,1028,253,10773
76155,"$25,000 under $50,000",885,133,367,1392,377,31984
76155,"$50,000 under $75,000",383,97,153,593,115,23099
76155,"$75,000 under $100,000",173,76,67,327,78,14854
76155,"$100,000 under $200,000",122,81,58,262,59,19511
76155,"$200,000 or more",**,**,**,**,**,**
76164,,"6,975","2,057","5,007","18,099","9,299","196,912"
76164,"$1 under $25,000",4176,706,3053,9674,5022,58279
76164,"$25,000 under $50,000",2070,855,1460,6215,3291,70601
76164,"$50,000 under $75,000",495,318,341,1583,770,29617
76164,"$75,000 under $100,000",136,104,82,395,156,11505
76164,"$100,000 under $200,000",77,74,51,189,60,9328
76164,"$200,000 or more",21,**,20,43,**,17582
76177,,"3,427","1,559","1,468","7,495","2,666","220,789"
76177,"$1 under $25,000",758,80,315,1016,334,9572
76177,"$25,000 under $50,000",792,216,340,1563,557,29932
76177,"$50,000 under $75,000",730,360,317,1692,602,45300
76177,"$75,000 under $100,000",528,384,187,1461,548,45799
76177,"$100,000 under $200,000",574,477,278,1632,581,72258
76177,"$200,000 or more",45,42,31,131,44,17928
76179,,"22,274","9,988","10,049","48,983","17,921","1,415,945"
76179,"$1 under $25,000",6555,785,2774,9350,3191,83329
76179,"$25,000 under $50,000",5355,1589,2346,11415,4482,197220
76179,"$50,000 under $75,000",3954,2249,1794,9931,3735,243824
76179,"$75,000 under $100,000",2757,2132,1196,7756,2867,238800
76179,"$100,000 under $200,000",3075,2716,1534,8899,3109,404980
76179,"$200,000 or more",578,517,405,1632,537,247792
76180,,"16,237","5,814","7,869","31,392","10,225","783,543"
76180,"$1 under $25,000",6511,819,3135,9754,3301,84098
76180,"$25,000 under $50,000",4380,1300,2024,8843,3168,158394
76180,"$50,000 under $75,000",2228,1153,1068,4796,1417,136326
76180,"$75,000 under $100,000",1310,978,652,3248,960,113330
76180,"$100,000 under $200,000",1540,1329,808,4018,1149,202677
76180,"$200,000 or more",268,235,182,733,230,88718
76182,,"13,745","6,636","5,936","28,266","9,007","978,680"
76182,"$1 under $25,000",4106,458,1531,4612,1155,46959
76182,"$25,000 under $50,000",2661,834,1076,5057,1577,98416
76182,"$50,000 under $75,000",1998,1070,873,4555,1487,123335
76182,"$75,000 under $100,000",1663,1307,772,4413,1442,144798
76182,"$100,000 under $200,000",2714,2414,1298,7833,2706,368085
76182,"$200,000 or more",603,553,386,1796,640,197087
76201,,"8,876","1,697","3,495","13,137","3,453","283,807"
76201,"$1 under $25,000",5580,340,1916,6659,1613,64276
76201,"$25,000 under $50,000",1858,486,803,3486,1150,65881
76201,"$50,000 under $75,000",703,339,350,1341,305,42903
76201,"$75,000 under $100,000",359,236,181,810,215,30829
76201,"$100,000 under $200,000",315,244,192,698,140,40994
76201,"$200,000 or more",61,52,53,143,30,38924
76205,,"7,706","2,327","3,631","13,931","4,481","374,915"
76205,"$1 under $25,000",3743,335,1584,5235,1732,46352
76205,"$25,000 under $50,000",1843,495,888,3712,1379,64898
76205,"$50,000 under $75,000",747,393,364,1565,428,45592
76205,"$75,000 under $100,000",446,314,243,1059,299,38696
76205,"$100,000 under $200,000",708,593,392,1801,500,97149
76205,"$200,000 or more",219,197,160,559,143,82228
76207,,"5,346","2,325","2,637","10,579","3,142","303,952"
76207,"$1 under $25,000",1917,294,893,2981,1003,24678
76207,"$25,000 under $50,000",1285,431,643,2753,1037,46584
76207,"$50,000 under $75,000",777,446,374,1676,453,47965
76207,"$75,000 under $100,000",575,450,274,1344,319,49862
76207,"$100,000 under $200,000",652,581,353,1512,280,86241
76207,"$200,000 or more",140,123,100,313,50,48622
76208,,"9,015","3,886","4,524","20,655","8,245","543,314"
76208,"$1 under $25,000",3483,528,1754,6051,2526,44510
76208,"$25,000 under $50,000",2074,752,1070,5027,2203,73932
76208,"$50,000 under $75,000",1078,571,536,2610,961,66821
76208,"$75,000 under $100,000",841,648,387,2344,857,73106
76208,"$100,000 under $200,000",1288,1157,602,3873,1429,174524
76208,"$200,000 or more",251,230,175,750,269,110421
76209,,"10,972","3,575","5,215","22,342","8,392","432,604"
76209,"$1 under $25,000",5027,604,2343,8035,2994,65350
76209,"$25,000 under $50,000",3058,950,1475,7026,3024,109361
76209,"$50,000 under $75,000",1385,784,638,3342,1173,84193
